Test number::label,Number of iterations::number,Disagreement::number
403,18,0.046
404,3,0.089
405,5,0.022
406,7,0.096
407,7,0.148
408,10,0.061
409,17,0.033
410,5,0.039
411,8,0.062
412,3,0.342
413,13,0.038
414,4,0.129
415,2,0.166
416,36,0.013
417,24,0.054
418,8,0.127
419,9,0.042
420,7,0.056
421,7,0.125
422,2,0.13
423,35,0.011
424,4,0.137
425,4,0.13
426,2,0.141
427,2,0.036
428,2,0.028
429,8,0.01
430,0,0
431,9,0.128
432,5,0.105
433,9,0.163
434,4,0.198
435,6,0.074
436,11,0.036
437,5,0.081
438,7,0.034
439,7,0.172
440,4,0.267
441,4,0.06
442,8,0.054
443,1,0.074
444,4,0.169
445,0,0
446,3,0.086
447,5,0.113
448,3,0.138
449,2,0.056
450,2,0.202
451,6,0.143
452,20,0.075
453,6,0.162
454,2,0.151
455,6,0.114
456,9,0.085
457,8,0.121
458,7,0.187
459,6,0.055
460,29,0.034
461,13,0.123
462,25,0.05
463,9,0.044
464,4,0.007
465,1,0.133
466,0,0
467,5,0.166
468,24,0.035
469,3,0.149
470,2,0.113
471,6,0.102
472,4,0.187
473,2,0.076
474,39,0.033
475,3,0.063
476,77,0.041
477,11,0.102
478,9,0.229
479,10,0.106
480,38,0.003
481,7,0.03
482,5,0.035
483,5,0.126
484,5,0.122
485,6,0.134
486,1,0.178
487,6,0.044
488,1,0.091
489,100,0.207
490,4,0.384
491,100,0.043
492,5,0.28
493,3,0.267
494,7,0.086
495,7,0.024
496,7,0.235
497,6,0.156
498,3,0.12
499,5,0.044
500,2,0.054
501,3,0.303
502,2,0.092
503,11,0.051
504,2,0.134
505,5,0.026
506,9,0.08
507,11,0.112
508,11,0.036
509,8,0.201
510,2,0.15
511,2,0.087
512,12,0.079
513,3,0.142
514,1,0.099
515,13,0.13
516,8,0.152
517,8,0.142
518,5,0.05
519,5,0.067
520,4,0.151
521,21,0.045
522,32,0.072
523,2,0.149
524,5,0.073
525,5,0.037
526,5,0.265
527,3,0.117
528,0,0
529,15,0.03
530,7,0.143
531,38,0.011
532,9,0.071
533,19,0.079
534,5,0.07
535,17,0.074
536,24,0.043
537,1,0.063
538,2,0.169
539,7,0.028
540,6,0.161
541,11,0.053
542,5,0.203
543,5,0.142
544,6,0.087
545,2,0.153
546,20,0.009
547,16,0.09
548,5,0.195
549,5,0.074
550,4,0.175
551,1,0.003
552,2,0.129
553,4,0.128
554,17,0.106
555,16,0.09
556,7,0.202
557,2,0.048
558,2,0.215
559,0,0
560,9,0.083
561,17,0.014
562,2,0.15
563,6,0.207
564,4,0.013
565,11,0.044
566,9,0.12
567,5,0.056
568,7,0.305
569,2,0.08
570,7,0.151
571,100,0.102
572,4,0.025
573,3,0.238
574,7,0.128
575,4,0.088
576,28,0.159
577,7,0.05
578,3,0.097
579,6,0.107
580,18,0.056
581,11,0.064
582,3,0.098
583,0,0
584,6,0.077
585,9,0.021
586,4,0.189
587,11,0.042
588,11,0.103
589,2,0.172
590,58,0.019
591,7,0.195
592,0,0
593,11,0.055
594,3,0.083
595,3,0.043
596,3,0.198
597,13,0.076
598,16,0.162
599,5,0.206
600,2,0.188
601,51,0.181
602,10,0.191
603,18,0.065
604,7,0.056
605,3,0.164
606,3,0.192
607,11,0.179
608,5,0.047
609,12,0.139
610,45,0.047
611,2,0.248
612,3,0.016
613,1,0.061
614,9,0.073
615,11,0.137
616,5,0.088
617,8,0.054
618,2,0.247
619,9,0.106
620,4,0.191
621,100,0.133
622,2,0.064
623,22,0.078
624,4,0.1
625,5,0.193
626,13,0.034
627,3,0.178
628,2,0.122
629,28,0.037
630,5,0.236
631,3,0.118
632,2,0.059
633,10,0.049
634,7,0.163
635,2,0.205
636,5,0.056
637,5,0.055
638,0,0
639,2,0.228
640,15,0.141
641,5,0.11
642,2,0.177
643,6,0.088
644,7,0.113
645,5,0.03
646,0,0
647,13,0.04
648,13,0.099
649,3,0.065
650,10,0.166
651,1,0.011
652,1,0.039
653,11,0.019
654,2,0.33
655,21,0.077
656,7,0.094
657,4,0.105
658,17,0.106
659,3,0.241
660,7,0.136
661,3,0.175
662,1,0.134
663,0,0
664,1,0.239
665,8,0.039
666,7,0.034
667,7,0.121
668,20,0.019
669,2,0.064
670,5,0.076
671,11,0.046
672,15,0.123
673,35,0.031
674,9,0.119
675,5,0.08
676,7,0.064
677,3,0.156
678,17,0.039
679,3,0.199
680,9,0.12
681,5,0.242
682,11,0.029
683,4,0.135
684,3,0.08
685,5,0.231
686,19,0.029
687,17,0.025
688,11,0.082
689,8,0.26
690,8,0.047
691,3,0.14
692,4,0.112
693,2,0.383
694,11,0.055
695,3,0.07
696,26,0.014
697,14,0.015
698,11,0.045
699,19,0.115
700,7,0.111
701,5,0.152
702,4,0.111
703,58,0.01
704,2,0.179
705,7,0.167
706,12,0.067
707,2,0.165
708,7,0.054
709,7,0.027
710,5,0.082
711,5,0.008
712,2,0.191
713,8,0.176
714,2,0.147
715,9,0.117
716,3,0.101
717,11,0.063
718,5,0.208
719,3,0.15
720,3,0.065
721,2,0.058
722,0,0
723,32,0.021
724,7,0.155
725,14,0.097
726,8,0.085
727,11,0.156
728,6,0.044
729,1,0.234
730,21,0.024
731,2,0.047
732,7,0.159
733,0,0
734,0,0
735,31,0.009
736,13,0.094
737,7,0.19
738,3,0.06
739,2,0.068
740,7,0.086
741,2,0.042
742,9,0.082
743,5,0.076
744,4,0.235
745,5,0.031
746,2,0.164
747,76,0.023
748,9,0.165
749,2,0.068
750,5,0.164
751,15,0.073
752,5,0.154
753,11,0.062
754,5,0.087
755,0,0
756,19,0.081
757,2,0.144
758,6,0.111
759,5,0.119
760,9,0.026
761,2,0.114
762,4,0.087
763,3,0.124
764,11,0.095
765,0,0
766,6,0.218
767,11,0.213
768,5,0.184
769,5,0.154
770,4,0.156
771,4,0.168
772,15,0.127
773,5,0.181
774,2,0.082
775,4,0.197
776,3,0.048
777,7,0.041
778,0,0
779,7,0.174
780,5,0.107
781,10,0.025
782,13,0.027
783,100,0.238
784,9,0.176
785,5,0.165
786,20,0.023
787,5,0.057
788,7,0.087
789,5,0.132
790,2,0.113
791,0,0
792,7,0.062
793,2,0.111
794,2,0.099
795,3,0.087
796,100,0.071
797,5,0.026
798,35,0.002
799,2,0.075
800,7,0.072
801,6,0.027
802,11,0.088
803,5,0.029
804,19,0.016
805,3,0.13
806,2,0.13
807,7,0.089
808,100,0.089
809,6,0.285
810,5,0.151
811,22,0.002
812,21,0.127
813,8,0.075
814,2,0.39
815,8,0.079
816,6,0.166
817,7,0.143
818,1,0.235
819,1,0.052
820,50,0.133
821,0,0
822,9,0.073
823,17,0.034
824,2,0.027
825,13,0.121
826,7,0.116
827,1,0.272
828,0,0
829,10,0.109
830,5,0.034
831,10,0.032
832,9,0.038
833,1,0.33
834,1,0.258
835,11,0.116
836,4,0.246
837,2,0.308
838,2,0.257
839,3,0.064
840,2,0.091
841,9,0.171
842,4,0.183
843,20,0.109
844,1,0.117
845,5,0.178
846,19,0.131
847,4,0.066
848,5,0.212
849,5,0.102
850,5,0.27
851,7,0.131
852,6,0.044
853,3,0.205
854,23,0.043
855,5,0.08
856,5,0.226
857,5,0.225
858,7,0.102
859,3,0.056
860,10,0.124
861,42,0.016
862,2,0.22
863,7,0.003
864,2,0.213
865,19,0.043
866,2,0.103
867,4,0.221
868,26,0.216
869,5,0.185
870,1,0.111
871,9,0.095
872,0,0
873,4,0.182
874,2,0.054
875,4,0.089
876,2,0.086
877,3,0.082
878,7,0.024
879,2,0.026
880,7,0.176
881,4,0.084
882,4,0.053
883,7,0.047
884,7,0.121
885,5,0.103
886,4,0.102
887,7,0.154
888,7,0.048
889,1,0.118
890,14,0.082
891,7,0.014
892,5,0.104
893,1,0.115
894,9,0.146
895,11,0.143
896,8,0.189
897,5,0.156
898,6,0.183
899,2,0.254
900,23,0.104
901,5,0.111
902,3,0.332
903,8,0.056
904,6,0.081
905,3,0.259
906,7,0.218
907,19,0.082
908,2,0.146
909,5,0.124
910,4,0.137
911,5,0.171
912,5,0.284
913,8,0.155
914,12,0.133
915,2,0.08
916,15,0.056
917,9,0.116
918,7,0.086
919,3,0.202
920,5,0.033
921,7,0.051
922,0,0
923,5,0.093
924,3,0.303
925,2,0.401
926,13,0.058
927,2,0.227
928,7,0.114
929,34,0.026
930,5,0.148
931,10,0.184
932,0,0
933,6,0.185
934,20,0.088
935,3,0.072
936,2,0.297
937,5,0.187
938,2,0.106
939,16,0.131
940,5,0.056
941,45,0.065
942,2,0.331
943,7,0.047
944,5,0.106
945,2,0.193
946,2,0.107
947,29,0.016
948,11,0.007
949,7,0.079
950,1,0.058
951,6,0.175
952,15,0.041
953,29,0.008
954,10,0.069
955,1,0.126
956,3,0.237
957,3,0.212
958,5,0.056
959,26,0.1
960,15,0.16
961,21,0.078
962,16,0.024
963,37,0.023
964,9,0.063
965,2,0.189
966,4,0.212
967,2,0.156
968,3,0.059
969,5,0.049
970,63,0.056
971,7,0.172
972,3,0.129
973,5,0.071
974,9,0.058
975,5,0.261
976,15,0.044
977,8,0.107
978,5,0.017
979,15,0.025
980,2,0.186
981,9,0.106
982,19,0.081
983,4,0.146
984,5,0.271
985,29,0.026
986,87,0.061
987,7,0.054
988,8,0.088
989,2,0.232
990,13,0.145
991,7,0.157
992,13,0.025
993,2,0.099
994,7,0.101
995,7,0.052
996,14,0.085
997,4,0.09
998,7,0.083
999,4,0.165
1000,2,0.178
