Test number::label,Number of iterations::number,Disagreement::number
1,92,0.001
2,100,0.029
3,31,0.023
4,100,0.04
5,32,0.022
6,87,0.015
7,42,0.012
8,52,0.015
9,38,0.016
10,100,0.033
11,97,0.001
12,39,0.021
13,31,0.015
14,43,0.016
15,100,0.067
16,43,0.034
17,57,0.025
18,40,0.006
19,83,0.02
20,43,0.026
21,77,0.009
22,50,0.014
23,100,0.041
24,100,0.038
25,65,0.039
26,56,0.01
27,29,0.022
28,74,0.014
29,91,0.007
30,4,0.01
31,100,0.068
32,51,0.018
33,9,0.029
34,100,0.014
35,100,0.069
36,76,0.003
37,49,0.002
38,31,0.023
39,100,0.016
40,14,0.053
41,100,0.064
42,1,0.018
43,56,0.022
44,29,0.032
45,33,0.011
46,85,0.027
47,17,0.012
48,9,0.003
49,100,0.043
50,39,0.025
51,19,0.035
52,17,0.039
53,100,0.026
54,67,0.008
55,45,0.007
56,17,0.016
57,84,0.003
58,100,0.071
59,52,0.002
60,12,0.018
61,100,0.008
62,26,0.015
63,100,0.057
64,41,0.006
65,100,0.03
66,100,0.023
67,38,0.037
68,8,0.014
69,100,0.044
70,52,0.018
71,100,0.065
72,8,0.005
73,75,0.003
74,34,0.013
75,73,0.004
76,100,0.091
77,80,0.012
78,100,0.046
79,100,0.065
80,74,0.015
81,60,0.011
82,28,0.012
83,100,0.034
84,34,0.036
85,55,0.004
86,45,0.022
87,96,0.013
88,33,0.001
89,91,0.009
90,58,0.004
91,100,0.079
92,100,0.03
93,100,0.058
94,100,0.055
95,35,0.0
96,28,0.036
97,100,0.053
98,53,0.015
99,54,0.014
100,82,0.013
101,100,0.039
102,33,0.031
103,100,0.026
104,15,0.013
105,33,0.012
106,100,0.036
107,100,0.047
108,50,0.004
109,3,0.025
110,94,0.009
111,40,0.021
112,100,0.069
113,79,0.001
114,100,0.056
115,48,0.006
116,71,0.015
117,28,0.019
118,39,0.012
119,3,0.009
120,31,0.009
121,87,0.021
122,49,0.008
123,85,0.006
124,12,0.006
125,100,0.048
126,100,0.046
127,17,0.02
128,33,0.008
129,100,0.035
130,45,0.001
131,24,0.013
132,10,0.046
133,43,0.011
134,33,0.008
135,23,0.003
136,29,0.003
137,20,0.007
138,23,0.031
139,65,0.011
140,9,0.022
141,33,0.009
142,89,0.016
143,24,0.009
144,42,0.007
145,100,0.048
146,96,0.012
147,100,0.015
148,38,0.012
149,66,0.016
150,0,0
151,63,0.011
152,17,0.014
153,42,0.006
154,100,0.019
155,87,0.015
156,47,0.032
157,11,0.033
158,100,0.063
159,99,0.001
160,100,0.063
161,24,0.007
162,25,0.009
163,70,0.004
164,40,0.01
165,45,0.011
166,100,0.041
167,100,0.03
168,56,0.009
169,41,0.036
170,53,0.021
171,16,0.006
172,100,0.045
173,100,0.029
174,77,0.01
175,90,0.009
176,100,0.115
177,100,0.034
178,100,0.035
179,19,0.037
180,22,0.029
181,48,0.012
182,52,0.004
183,52,0.005
184,49,0.027
185,56,0.01
186,100,0.033
187,87,0.004
188,100,0.032
189,53,0.026
190,18,0.003
191,35,0.026
192,51,0.01
193,34,0.008
194,22,0.001
195,55,0.01
196,37,0.002
197,100,0.032
198,71,0.016
199,25,0.053
200,89,0.034
201,100,0.059
202,75,0.01
203,42,0.018
204,100,0.042
205,58,0.025
206,38,0.019
207,31,0.02
208,72,0.011
209,100,0.037
210,89,0.007
211,100,0.015
212,15,0.002
213,12,0.025
214,79,0.014
215,93,0.005
216,63,0.04
217,100,0.011
218,25,0.009
219,24,0.009
220,20,0.017
221,54,0.023
222,100,0.033
223,47,0.003
224,89,0.028
225,35,0.01
226,100,0.073
227,44,0.012
228,19,0.066
229,41,0.051
230,100,0.066
231,19,0.009
232,16,0.012
233,29,0.024
234,7,0.034
235,71,0.003
236,61,0.029
237,100,0.077
238,36,0.009
239,38,0.018
240,98,0.001
241,100,0.043
242,100,0.052
243,100,0.052
244,87,0.026
245,81,0.013
246,100,0.042
247,11,0.006
248,100,0.036
249,100,0.031
250,100,0.059
251,60,0.02
252,53,0.017
253,57,0.025
254,100,0.064
255,17,0.004
256,52,0.015
257,100,0.073
258,17,0.003
259,83,0.012
260,100,0.022
261,100,0.026
262,100,0.04
263,67,0.013
264,4,0.029
265,34,0.007
266,100,0.057
267,53,0.008
268,100,0.036
269,47,0.01
270,100,0.037
271,46,0.006
272,63,0.01
273,22,0.036
274,100,0.03
275,100,0.055
276,56,0.02
277,73,0.013
278,91,0.001
279,100,0.035
280,18,0.015
281,10,0.019
282,92,0.0
283,31,0.052
284,97,0.014
285,49,0.01
286,28,0.009
287,60,0.014
288,24,0.003
289,76,0.032
290,100,0.092
291,20,0.01
292,100,0.051
293,100,0.006
294,13,0.034
295,100,0.029
296,62,0.006
297,100,0.09
298,100,0.066
299,20,0.019
300,100,0.055
301,89,0.017
302,9,0.008
303,8,0.029
304,47,0.004
305,85,0.042
306,67,0.005
307,60,0.003
308,49,0.019
309,75,0.007
310,23,0.016
311,94,0.009
312,14,0.014
313,39,0.011
314,22,0.003
315,9,0.02
316,15,0.009
317,18,0.052
318,100,0.029
319,36,0.033
320,13,0.008
321,19,0.042
322,48,0.028
323,73,0.023
324,100,0.045
325,19,0.036
326,69,0.029
327,82,0.007
328,27,0.007
329,11,0.025
330,29,0.009
331,55,0.003
332,34,0.031
333,41,0.012
334,46,0.007
335,17,0.015
336,100,0.034
337,42,0.006
338,19,0.005
339,74,0.016
340,90,0.013
341,24,0.003
342,28,0.011
343,85,0.027
344,74,0.01
345,99,0.003
346,29,0.003
347,100,0.071
348,33,0.025
349,100,0.045
350,100,0.045
351,64,0.007
352,35,0.004
353,89,0.004
354,100,0.144
355,36,0.008
356,100,0.048
357,51,0.014
358,100,0.169
359,35,0.008
360,17,0.008
361,14,0.008
362,24,0.017
363,100,0.014
364,96,0.005
365,12,0.011
366,46,0.008
367,38,0.019
368,84,0.021
369,100,0.052
370,21,0.006
371,64,0.013
372,64,0.004
373,19,0.019
374,100,0.049
375,30,0.001
376,14,0.012
377,84,0.013
378,100,0.037
379,17,0.042
380,41,0.016
381,86,0.001
382,99,0.006
383,83,0.019
384,21,0.017
385,16,0.019
386,41,0.02
387,17,0.012
388,13,0.02
389,55,0.001
390,71,0.004
391,95,0.0
392,23,0.026
393,44,0.013
394,30,0.02
395,24,0.005
396,11,0.025
397,22,0.024
398,79,0.027
399,91,0.005
400,100,0.01
401,20,0.024
402,100,0.0
403,23,0.003
404,30,0.008
405,51,0.009
406,38,0.068
407,41,0.036
408,100,0.007
409,12,0.037
410,65,0.024
411,66,0.01
412,16,0.006
413,3,0.013
414,19,0.043
415,33,0.018
416,14,0.015
417,38,0.03
418,100,0.072
419,100,0.08
420,30,0.023
421,49,0.009
422,23,0.008
423,95,0.01
424,55,0.014
425,100,0.036
426,65,0.007
427,100,0.042
428,47,0.008
429,100,0.038
430,37,0.025
431,47,0.005
432,83,0.016
433,64,0.008
434,29,0.01
435,46,0.004
436,60,0.008
437,85,0.033
438,81,0.009
439,19,0.03
440,2,0.055
441,15,0.029
442,36,0.01
443,100,0.043
444,100,0.011
445,57,0.03
446,61,0.0
447,68,0.034
448,8,0.009
449,16,0.009
450,100,0.05
451,45,0.006
452,12,0.03
453,48,0.025
454,82,0.021
455,100,0.095
456,40,0.039
457,65,0.002
458,100,0.098
459,63,0.007
460,100,0.051
461,40,0.012
462,93,0.003
463,100,0.012
464,100,0.113
465,29,0.009
466,71,0.005
467,57,0.028
468,100,0.067
469,13,0.024
470,49,0.011
471,72,0.019
472,82,0.001
473,100,0.016
474,59,0.01
475,13,0.01
476,100,0.046
477,17,0.03
478,56,0.011
479,94,0.002
480,93,0.014
481,13,0.012
482,100,0.064
483,14,0.018
484,100,0.06
485,99,0.002
486,11,0.015
487,62,0.012
488,100,0.036
489,61,0.021
490,15,0.01
491,8,0.026
492,25,0.006
493,7,0.013
494,59,0.023
495,100,0.025
496,53,0.023
497,97,0.0
498,40,0.006
499,59,0.024
500,5,0.035
501,62,0.018
502,64,0.007
503,100,0.033
504,41,0.001
505,17,0.032
506,100,0.066
507,100,0.059
508,100,0.045
509,10,0.043
510,69,0.009
511,100,0.072
512,100,0.001
513,19,0.012
514,100,0.014
515,37,0.019
516,100,0.095
517,86,0.006
518,11,0.005
519,14,0.006
520,100,0.043
521,15,0.025
522,100,0.039
523,23,0.038
524,100,0.012
525,100,0.083
526,99,0.011
527,100,0.046
528,17,0.014
529,37,0.01
530,43,0.009
531,100,0.125
532,78,0.023
533,33,0.021
534,100,0.021
535,100,0.107
536,100,0.118
537,100,0.016
538,21,0.008
539,100,0.014
540,77,0.013
541,21,0.016
542,100,0.009
543,100,0.072
544,100,0.106
545,100,0.039
546,100,0.147
547,100,0.128
548,14,0.027
549,64,0.014
550,45,0.014
551,83,0.001
552,35,0.005
553,31,0.023
554,70,0.011
555,49,0.021
556,53,0.003
557,100,0.057
558,40,0.015
559,63,0.009
560,42,0.036
561,59,0.011
562,100,0.055
563,39,0.009
564,100,0.024
565,20,0.015
566,47,0.005
567,82,0.007
568,100,0.083
569,39,0.017
570,97,0.005
571,26,0.024
572,100,0.077
573,100,0.006
574,27,0.007
575,100,0.03
576,44,0.014
577,52,0.028
578,18,0.003
579,100,0.067
580,85,0.007
581,92,0.006
582,73,0.007
583,38,0.014
584,94,0.023
585,100,0.015
586,84,0.024
587,100,0.095
588,16,0.0
589,100,0.063
590,100,0.028
591,44,0.019
592,100,0.071
593,23,0.01
594,27,0.008
595,24,0.009
596,40,0.005
597,100,0.02
598,40,0.023
599,100,0.075
600,100,0.088
601,51,0.012
602,53,0.009
603,100,0.049
604,95,0.022
605,100,0.022
606,100,0.057
607,16,0.009
608,22,0.015
609,100,0.035
610,93,0.014
611,20,0.006
612,9,0.003
613,100,0.03
614,100,0.032
615,100,0.132
616,100,0.033
617,23,0.009
618,66,0.021
619,43,0.014
620,100,0.041
621,100,0.046
622,94,0.009
623,31,0.001
624,97,0.003
625,18,0.01
626,100,0.071
627,25,0.051
628,100,0.046
629,26,0.038
630,23,0.021
631,69,0.029
632,100,0.082
633,100,0.03
634,27,0.035
635,41,0.015
636,61,0.037
637,100,0.089
638,100,0.077
639,32,0.007
640,75,0.0
641,100,0.024
642,34,0.045
643,35,0.033
644,100,0.035
645,100,0.068
646,31,0.002
647,35,0.009
648,93,0.013
649,73,0.028
650,62,0.001
651,33,0.007
652,74,0.01
653,25,0.012
654,35,0.005
655,100,0.03
656,88,0.004
657,33,0.014
658,17,0.019
659,100,0.091
660,25,0.02
661,48,0.016
662,100,0.029
663,37,0.037
664,41,0.005
665,100,0.059
666,39,0.01
667,17,0.01
668,100,0.072
669,100,0.051
670,100,0.076
671,30,0.002
672,100,0.046
673,52,0.015
674,38,0.024
675,29,0.031
676,100,0.08
677,57,0.001
678,100,0.04
679,11,0.013
680,41,0.011
681,29,0.002
682,32,0.013
683,97,0.002
684,100,0.053
685,29,0.012
686,25,0.018
687,20,0.032
688,19,0.017
689,43,0.008
690,21,0.005
691,28,0.022
692,31,0.01
693,100,0.06
694,100,0.058
695,49,0.027
696,100,0.093
697,100,0.063
698,23,0.003
699,100,0.041
700,61,0.001
701,46,0.011
702,31,0.006
703,100,0.011
704,45,0.012
705,10,0.027
706,100,0.038
707,88,0.008
708,99,0.009
709,38,0.018
710,24,0.042
711,91,0.028
712,91,0.018
713,49,0.011
714,100,0.071
715,45,0.006
716,59,0.009
717,62,0.011
718,23,0.007
719,100,0.09
720,50,0.025
721,100,0.039
722,100,0.053
