Test number::label,Number of iterations::number,Disagreement::number
723,69,0.01
724,25,0.011
725,58,0.009
726,100,0.045
727,90,0.002
728,29,0.023
729,29,0.009
730,97,0.025
731,100,0.043
732,100,0.064
733,32,0.006
734,100,0.039
735,45,0.002
736,29,0.032
737,100,0.036
738,41,0.042
739,10,0.052
740,100,0.082
741,32,0.024
742,94,0.015
743,100,0.019
744,67,0.015
745,100,0.032
746,85,0.004
747,12,0.005
748,41,0.017
749,68,0.003
750,16,0.007
751,68,0.007
752,100,0.069
753,29,0.008
754,80,0.009
755,98,0.012
756,61,0.002
757,9,0.023
758,68,0.013
759,22,0.019
760,38,0.006
761,18,0.007
762,24,0.002
763,65,0.02
764,62,0.011
765,100,0.053
766,100,0.055
767,61,0.006
768,87,0.004
769,68,0.001
770,38,0.01
771,100,0.071
772,89,0.019
773,100,0.036
774,10,0.016
775,59,0.009
776,60,0.008
777,21,0.025
778,100,0.025
779,27,0.005
780,12,0.005
781,100,0.014
782,20,0.03
783,78,0.011
784,89,0.006
785,52,0.009
786,52,0.042
787,15,0.016
788,22,0.044
789,80,0.001
790,100,0.068
791,59,0.007
792,17,0.068
793,14,0.01
794,100,0.058
795,43,0.012
796,73,0.014
797,54,0.051
798,39,0.038
799,7,0.008
800,35,0.004
801,100,0.048
802,50,0.021
803,24,0.004
804,29,0.008
805,16,0.015
806,35,0.006
807,100,0.056
808,34,0.021
809,56,0.016
810,47,0.005
811,11,0.031
812,45,0.008
813,23,0.009
814,25,0.03
815,78,0.009
816,16,0.001
817,20,0.006
818,100,0.009
819,100,0.102
820,29,0.032
821,100,0.017
822,42,0.016
823,100,0.029
824,9,0.026
825,16,0.002
826,100,0.038
827,86,0.01
828,72,0.004
829,55,0.016
830,100,0.014
831,100,0.046
832,3,0.008
833,51,0.023
834,99,0.007
835,32,0.037
836,70,0.021
837,23,0.0
838,100,0.019
839,100,0.022
840,31,0.011
841,23,0.038
842,17,0.021
843,6,0.021
844,100,0.054
845,48,0.025
846,100,0.111
847,22,0.017
848,68,0.005
849,16,0.061
850,19,0.002
851,15,0.013
852,57,0.008
853,20,0.015
854,57,0.036
855,59,0.057
856,23,0.043
857,83,0.029
858,77,0.008
859,20,0.013
860,14,0.008
861,32,0.005
862,46,0.01
863,94,0.007
864,100,0.091
865,85,0.015
866,24,0.018
867,63,0.001
868,4,0.01
869,49,0.02
870,61,0.013
871,52,0.011
872,10,0.022
873,85,0.006
874,37,0.001
875,54,0.031
876,41,0.011
877,85,0.009
878,30,0.026
879,16,0.034
880,100,0.048
881,84,0.008
882,70,0.009
883,30,0.016
884,14,0.04
885,100,0.011
886,100,0.031
887,87,0.005
888,22,0.043
889,20,0.009
890,52,0.016
891,38,0.027
892,39,0.005
893,100,0.039
894,56,0.019
895,100,0.129
896,100,0.053
897,66,0.003
898,100,0.055
899,100,0.048
900,100,0.052
901,46,0.018
902,29,0.007
903,76,0.01
904,100,0.033
905,16,0.027
906,83,0.014
907,14,0.009
908,44,0.014
909,67,0.013
910,21,0.026
911,69,0.011
912,50,0.018
913,81,0.017
914,100,0.023
915,100,0.014
916,100,0.029
917,34,0.021
918,97,0.01
919,43,0.012
920,25,0.008
921,16,0.001
922,4,0.014
923,93,0.015
924,20,0.011
925,23,0.015
926,59,0.015
927,73,0.018
928,86,0.01
929,100,0.021
930,9,0.013
931,53,0.019
932,93,0.002
933,66,0.005
934,100,0.057
935,52,0.006
936,96,0.006
937,84,0.008
938,41,0.005
939,35,0.043
940,87,0.003
941,44,0.01
942,42,0.022
943,100,0.042
944,87,0.008
945,24,0.017
946,41,0.015
947,100,0.031
948,21,0.042
949,39,0.026
950,100,0.061
951,100,0.072
952,100,0.013
953,100,0.064
954,22,0.013
955,100,0.029
956,100,0.057
957,13,0.033
958,35,0.026
959,100,0.005
960,48,0.007
961,100,0.06
962,91,0.007
963,100,0.04
964,100,0.036
965,14,0.019
966,68,0.003
967,100,0.065
968,100,0.007
969,94,0.019
970,16,0.023
971,68,0.013
972,100,0.062
973,52,0.003
974,41,0.008
975,100,0.063
976,25,0.003
977,100,0.018
978,92,0.008
979,8,0.018
980,100,0.014
981,100,0.027
982,49,0.026
983,26,0.004
984,100,0.075
985,17,0.009
986,100,0.059
987,16,0.011
988,68,0.016
989,23,0.041
990,32,0.017
991,100,0.03
992,100,0.021
993,31,0.013
994,82,0.009
995,100,0.042
996,100,0.057
997,62,0.005
998,23,0.039
999,41,0.036
1000,28,0.0
